shortName,name,href,uid,guid,id,height,weight,position,hand,jersey,birthPlace,headshot,lastName,experience
J. Abalos,Jax Abalos,https://www.espn.com/mens-college-basketball/player/_/id/5313690/jax-abalos,s:40~l:41~a:5313690,953fef17-d537-3b2e-bf5c-d6aff357df1c,5313690,"6' 8""",200 lbs,F,B,3,"Batavia, IL",https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5313690.png,Jax Abalos,FR
J. Baldwin,Josh Baldwin,https://www.espn.com/mens-college-basketball/player/_/id/5106245/josh-baldwin,s:40~l:41~a:5106245,e8d07f24-ca4d-3a3e-88fd-9ffe90a06fcd,5106245,"6' 5""",240 lbs,G,,24,"Everett, MA",https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106245.png,Josh Baldwin,SR
J. Beccles,Jacob Beccles,https://www.espn.com/mens-college-basketball/player/_/id/5175898/jacob-beccles,s:40~l:41~a:5175898,8940b000-b886-34eb-9aeb-81b22194998c,5175898,"6' 3""",183 lbs,G,,5,"Philadelphia, PA",https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5175898.png,Jacob Beccles,JR
R. Burbach,Ryan Burbach,https://www.espn.com/mens-college-basketball/player/_/id/5313691/ryan-burbach,s:40~l:41~a:5313691,7425e871-c9f5-3471-b43d-b992377f4a00,5313691,"6' 3""",185 lbs,G,,12,"Phoenix, AZ",https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5313691.png,Ryan Burbach,FR
J. Fiegen,Jake Fiegen,https://www.espn.com/mens-college-basketball/player/_/id/5175900/jake-fiegen,s:40~l:41~a:5175900,5203b5aa-862a-3a4f-8fa7-118a7ea502f4,5175900,"6' 4""",205 lbs,G,,22,"Wilmette, IL",https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5175900.png,Jake Fiegen,SR
D. Fishburn,DaMaryon Fishburn,https://www.espn.com/mens-college-basketball/player/_/id/5313688/damaryon-fishburn,s:40~l:41~a:5313688,992f2203-ca04-3fe6-86d3-e0358387a61d,5313688,"6' 5""",190 lbs,G,,0,"Detroit, MI",https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5313688.png,DaMaryon Fishburn,JR
E. Griffin,Elijah Griffin,https://www.espn.com/mens-college-basketball/player/_/id/5313689/elijah-griffin,s:40~l:41~a:5313689,efb3bd5e-868d-3103-bf17-b908daad937d,5313689,"6' 2""",165 lbs,G,L,1,"Kenosha, WI",https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5313689.png,Elijah Griffin,FR
A. Hinton,Adam Hinton,https://www.espn.com/mens-college-basketball/player/_/id/5106243/adam-hinton,s:40~l:41~a:5106243,5541ca5e-3adb-3109-8c18-e1fdd160a79c,5106243,"6' 4""",215 lbs,G,,8,"Hollywood Hills, CA",https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106243.png,Adam Hinton,SR
I. Imegwu,Ian Imegwu,https://www.espn.com/mens-college-basketball/player/_/id/5175897/ian-imegwu,s:40~l:41~a:5175897,80ad992c-2dcd-38e6-aa72-d0dbe283be18,5175897,"6' 9""",238 lbs,F,R,2,"Short Hills, NJ",https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5175897.png,Ian Imegwu,JR
T. Iwanonkiw,Ty Iwanonkiw,https://www.espn.com/mens-college-basketball/player/_/id/5241719/ty-iwanonkiw,s:40~l:41~a:5241719,2f111c61-5848-3e98-a615-59fcfdec4891,5241719,"6' 9""",202 lbs,F,,11,"Pittsburgh, PA",https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5241719.png,Ty Iwanonkiw,SO
A. LaBeau,AJ LaBeau,https://www.espn.com/mens-college-basketball/player/_/id/5174972/aj-labeau,s:40~l:41~a:5174972,01ecc018-e115-3ae8-a11d-a0a5afa9d79e,5174972,"6' 10""",222 lbs,F,,55,"Boise, ID",https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5174972.png,AJ LaBeau,JR
B. Lecklitner,Blake Lecklitner,https://www.espn.com/mens-college-basketball/player/_/id/5313692/blake-lecklitner,s:40~l:41~a:5313692,42665efc-0064-33bc-9b9b-7ec84e0ed493,5313692,"6' 9""",210 lbs,F,,15,"Prosper, TX",https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5313692.png,Blake Lecklitner,FR
A. Nimani,Anthony Nimani,https://www.espn.com/mens-college-basketball/player/_/id/5241718/anthony-nimani,s:40~l:41~a:5241718,9c14d30e-0031-3afe-8243-537f6bc51ce5,5241718,"6' 4""",186 lbs,G,,7,"Meriden, CT",https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5241718.png,Anthony Nimani,SO
D. Nix,DJ Nix,https://www.espn.com/mens-college-basketball/player/_/id/4684840/dj-nix,s:40~l:41~a:4684840,33151e7f-21ad-3a32-9451-e986be75b928,4684840,"6' 6""",224 lbs,F,,23,"Harrisburg, NC",https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684840.png,DJ Nix,SR
C. Noard,Cooper Noard,https://www.espn.com/mens-college-basketball/player/_/id/5106247/cooper-noard,s:40~l:41~a:5106247,bfb481b4-c764-308d-a3ff-0d8625ba617a,5106247,"6' 2""",195 lbs,G,,31,"Glenview, IL",https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106247.png,Cooper Noard,SR
G. Panzini,Gioacchino Panzini,https://www.espn.com/mens-college-basketball/player/_/id/5241716/gioacchino-panzini,s:40~l:41~a:5241716,7c2a4222-cf98-3d72-ac3b-06b62484a03f,5241716,"6' 5""",200 lbs,F,,4,"Spring Lake, NJ",https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5241716.png,Gioacchino Panzini,SO
M. Rafiq,Mateen Rafiq,https://www.espn.com/mens-college-basketball/player/_/id/5241717/mateen-rafiq,s:40~l:41~a:5241717,1ae1f9a0-c6ae-3b52-9d2a-bb35b059ef69,5241717,"6' 0""",155 lbs,G,,10,"Sacramento, CA",https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5241717.png,Mateen Rafiq,SO
A. Rodriguez,AJ Rodriguez,https://www.espn.com/mens-college-basketball/player/_/id/5241720/aj-rodriguez,s:40~l:41~a:5241720,c5d12194-b9ee-3f47-bc8b-afb3dcb99738,5241720,"6' 6""",205 lbs,G,,13,"Westchester, NY",https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5241720.png,AJ Rodriguez,SO
K. Sepp,Kaspar Sepp,https://www.espn.com/mens-college-basketball/player/_/id/5176404/kaspar-sepp,s:40~l:41~a:5176404,1dd4bae9-703d-3834-bdca-4b1a255f4f90,5176404,"6' 7""",220 lbs,F,,21,"Tartu, Estonia",https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5176404.png,Kaspar Sepp,JR
C. Zentner,Corbin Zentner,https://www.espn.com/mens-college-basketball/player/_/id/5196671/corbin-zentner,s:40~l:41~a:5196671,e4328e30-2d8b-3b72-8247-128afe95b868,5196671,"5' 9""",167 lbs,G,,14,"Alpine, UT",https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5196671.png,Corbin Zentner,SR
